id,GEOID,County,State,TotPop
0500000US01001,01001,Autauga County, Alabama,55380
0500000US01003,01003,Baldwin County, Alabama,212830
0500000US01005,01005,Barbour County, Alabama,25361
0500000US01007,01007,Bibb County, Alabama,22493
0500000US01009,01009,Blount County, Alabama,57681
0500000US01011,01011,Bullock County, Alabama,10248
0500000US01013,01013,Butler County, Alabama,19828
0500000US01015,01015,Calhoun County, Alabama,114618
0500000US01017,01017,Chambers County, Alabama,33660
0500000US01019,01019,Cherokee County, Alabama,25903
0500000US01021,01021,Chilton County, Alabama,44055
0500000US01023,01023,Choctaw County, Alabama,12925
0500000US01025,01025,Clarke County, Alabama,24128
0500000US01027,01027,Clay County, Alabama,13337
0500000US01029,01029,Cleburne County, Alabama,14916
0500000US01031,01031,Coffee County, Alabama,51662
0500000US01033,01033,Colbert County, Alabama,54771
0500000US01035,01035,Conecuh County, Alabama,12394
0500000US01037,01037,Coosa County, Alabama,10757
0500000US01039,01039,Covington County, Alabama,37200
0500000US01041,01041,Crenshaw County, Alabama,13844
0500000US01043,01043,Cullman County, Alabama,82853
0500000US01045,01045,Dale County, Alabama,49277
0500000US01047,01047,Dallas County, Alabama,39149
0500000US01049,01049,DeKalb County, Alabama,71310
0500000US01051,01051,Elmore County, Alabama,81144
0500000US01053,01053,Escambia County, Alabama,37057
0500000US01055,01055,Etowah County, Alabama,102748
0500000US01057,01057,Fayette County, Alabama,16494
0500000US01059,01059,Franklin County, Alabama,31466
0500000US01061,01061,Geneva County, Alabama,26417
0500000US01063,01063,Greene County, Alabama,8324
0500000US01065,01065,Hale County, Alabama,14809
0500000US01067,01067,Henry County, Alabama,17133
0500000US01069,01069,Houston County, Alabama,104702
0500000US01071,01071,Jackson County, Alabama,51852
0500000US01073,01073,Jefferson County, Alabama,659680
0500000US01075,01075,Lamar County, Alabama,13885
0500000US01077,01077,Lauderdale County, Alabama,92556
0500000US01079,01079,Lawrence County, Alabama,33058
0500000US01081,01081,Lee County, Alabama,161152
0500000US01083,01083,Limestone County, Alabama,94727
0500000US01085,01085,Lowndes County, Alabama,10079
0500000US01087,01087,Macon County, Alabama,18708
0500000US01089,01089,Madison County, Alabama,362276
0500000US01091,01091,Marengo County, Alabama,19321
0500000US01093,01093,Marion County, Alabama,29866
0500000US01095,01095,Marshall County, Alabama,95643
0500000US01097,01097,Mobile County, Alabama,414114
0500000US01099,01099,Monroe County, Alabama,21270
0500000US01101,01101,Montgomery County, Alabama,226941
0500000US01103,01103,Morgan County, Alabama,119213
0500000US01105,01105,Perry County, Alabama,9293
0500000US01107,01107,Pickens County, Alabama,20243
0500000US01109,01109,Pike County, Alabama,33333
0500000US01111,01111,Randolph County, Alabama,22647
0500000US01113,01113,Russell County, Alabama,57952
0500000US01115,01115,St. Clair County, Alabama,87989
0500000US01117,01117,Shelby County, Alabama,213432
0500000US01119,01119,Sumter County, Alabama,12797
0500000US01121,01121,Talladega County, Alabama,80387
0500000US01123,01123,Tallapoosa County, Alabama,40541
0500000US01125,01125,Tuscaloosa County, Alabama,207305
0500000US01127,01127,Walker County, Alabama,64110
0500000US01129,01129,Washington County, Alabama,16541
0500000US01131,01131,Wilcox County, Alabama,10681
0500000US01133,01133,Winston County, Alabama,23784
0500000US02013,02013,Aleutians East Borough, Alaska,3385
0500000US02016,02016,Aleutians West Census Area, Alaska,5698
0500000US02020,02020,Anchorage Municipality, Alaska,293531
0500000US02050,02050,Bethel Census Area, Alaska,18134
0500000US02060,02060,Bristol Bay Borough, Alaska,875
0500000US02068,02068,Denali Borough, Alaska,2246
0500000US02070,02070,Dillingham Census Area, Alaska,4961
0500000US02090,02090,Fairbanks North Star Borough, Alaska,99072
0500000US02100,02100,Haines Borough, Alaska,2518
0500000US02105,02105,Hoonah-Angoon Census Area, Alaska,2139
0500000US02110,02110,Juneau City and Borough, Alaska,32227
0500000US02122,02122,Kenai Peninsula Borough, Alaska,58464
0500000US02130,02130,Ketchikan Gateway Borough, Alaska,13800
0500000US02150,02150,Kodiak Island Borough, Alaska,13451
0500000US02158,02158,Kusilvak Census Area, Alaska,8250
0500000US02164,02164,Lake and Peninsula Borough, Alaska,1393
0500000US02170,02170,Matanuska-Susitna Borough, Alaska,105369
0500000US02180,02180,Nome Census Area, Alaska,9988
0500000US02185,02185,North Slope Borough, Alaska,9792
0500000US02188,02188,Northwest Arctic Borough, Alaska,7715
0500000US02195,02195,Petersburg Borough, Alaska,3257
0500000US02198,02198,Prince of Wales-Hyder Census Area, Alaska,6407
0500000US02220,02220,Sitka City and Borough, Alaska,8640
0500000US02230,02230,Skagway Municipality, Alaska,1107
0500000US02240,02240,Southeast Fairbanks Census Area, Alaska,6878
0500000US02261,02261,Valdez-Cordova Census Area, Alaska,9243
0500000US02275,02275,Wrangell City and Borough, Alaska,2502
0500000US02282,02282,Yakutat City and Borough, Alaska,649
0500000US02290,02290,Yukon-Koyukuk Census Area, Alaska,5377
0500000US04001,04001,Apache County, Arizona,71511
0500000US04003,04003,Cochise County, Arizona,125867
0500000US04005,04005,Coconino County, Arizona,141274
0500000US04007,04007,Gila County, Arizona,53546
0500000US04009,04009,Graham County, Arizona,37996
0500000US04011,04011,Greenlee County, Arizona,9522
0500000US04012,04012,La Paz County, Arizona,20793
0500000US04013,04013,Maricopa County, Arizona,4328810
0500000US04015,04015,Mohave County, Arizona,207695
0500000US04017,04017,Navajo County, Arizona,109270
0500000US04019,04019,Pima County, Arizona,1027207
